Hum,Macaca,Mouse,Rat
SCRN2,SCRN2,Scrn2,Scrn2
PDE4B,PDE4B,Pde4b,Pde4b
OXT,OXT,Oxt,Oxt
LIN9,LIN9,Lin9,Lin9
ALDH3B1,ALDH3B1,Aldh3b1,Aldh3b1
TEX10,TEX10,Tex10,Tex10
SPOCK3,SPOCK3,Spock3,Spock3
CDK17,CDK17,Cdk17,Cdk17
SLC1A4,SLC1A4,Slc1a4,Slc1a4
POLD3,POLD3,Pold3,Pold3
TCERG1L,TCERG1L,Tcerg1l,Tcerg1l
BACH2,BACH2,Bach2,Bach2
PLA1A,PLA1A,Pla1a,Pla1a
TBC1D1,TBC1D1,Tbc1d1,Tbc1d1
RCL1,RCL1,Rcl1,Rcl1
RSPO3,RSPO3,Rspo3,Rspo3
SLIT2,SLIT2,Slit2,Slit2
TMEM236,TMEM236,Tmem236,Tmem236
PRG4,PRG4,Prg4,Prg4
KLK13,KLK13,Klk13,Klk13
PPP1R7,PPP1R7,Ppp1r7,Ppp1r7
C3orf18,C3orf18,6430571L13Rik,RGD1307461
PRPF39,PRPF39,Prpf39,Prpf39
SLC35D2,SLC35D2,Slc35d2,Slc35d2
CANX,CANX,Canx,Canx
MBTPS1,MBTPS1,Mbtps1,Mbtps1
CAMSAP2,CAMSAP2,Camsap2,Camsap2
CEMIP,CEMIP,Cemip,Cemip
CHEK2,CHEK2,Chek2,Chek2
ZCCHC11,ZCCHC11,Zcchc11,Zcchc11
SLIRP,SLIRP,Slirp,Slirp
NUGGC,NUGGC,Nuggc,Nuggc
FAAP24,,Faap24,Faap24
SCAF8,SCAF8,Scaf8,Scaf8
COX11,COX11,Cox11,Cox11
KRT2,KRT2,Krt2,Krt2
NAAA,NAAA,Naaa,Naaa
JHY,JHY,Jhy,RGD1309108
DCUN1D5,DCUN1D5,Dcun1d5,Dcun1d5
PLIN3,PLIN3,Plin3,Plin3
GNAT2,GNAT2,Gnat2,Gnat2
C2CD3,C2CD3,C2cd3,C2cd3
LCN12,LCN12,Lcn12,Lcn12
IQCC,IQCC,Iqcc,Iqcc
SLC1A1,SLC1A1,Slc1a1,Slc1a1
KLHL4,KLHL4,Klhl4,Klhl4
INPP5K,INPP5K,Inpp5k,Inpp5k
ACTR3,ACTR3,Actr3,Actr3
LYNX1,LYNX1,Lynx1,Lynx1
XPO6,XPO6,Xpo6,Xpo6
MTR,MTR,Mtr,Mtr
PLEKHM2,PLEKHM2,Plekhm2,Plekhm2
LBR,LBR,Lbr,Lbr
ZNF451,ZNF451,Zfp451,Zfp451
LTA4H,LTA4H,Lta4h,Lta4h
PATL1,PATL1,Patl1,Patl1
YARS,YARS,Yars,Yars
TCF3,TCF3,Tcf3,Tcf3
PHYH,PHYH,Phyh,Phyh
MYO1G,MYO1G,Myo1g,Myo1g
MMP10,,Mmp10,Mmp10
CDH9,CDH9,Cdh9,Cdh9
EMILIN3,EMILIN3,Emilin3,Emilin3
LY6K,LY6K,Ly6k,Ly6k
GALNT12,GALNT12,Galnt12,Galnt12
OR5A1,OR5A1,Olfr76,Olr326
SLC35E4,SLC35E4,Slc35e4,Slc35e4
ACTN2,ACTN2,Actn2,Actn2
ATP6V1G2,ATP6V1G2,Atp6v1g2,Atp6v1g2
KLF14,KLF14,Klf14,Klf14
ORMDL3,ORMDL3,Ormdl3,Ormdl3
APBB1,APBB1,Apbb1,Apbb1
ANKS6,ANKS6,Anks6,Anks6
TMEM181,TMEM181,Tmem181a,Tmem181
SLC26A3,SLC26A3,Slc26a3,Slc26a3
CREBRF,CREBRF,Crebrf,Crebrf
KRT5,KRT5,Krt5,Krt5
PRR19,PRR19,Prr19,Prr19
ZNF2,ZNF2,Zfp661,LOC100909998
ATP1A1,ATP1A1,Atp1a1,Atp1a1
NUP98,NUP98,Nup98,Nup98
CHAD,CHAD,Chad,Chad
TCP11L1,TCP11L1,Tcp11l1,Tcp11l1
CRLF1,CRLF1,Crlf1,Crlf1
ANKRD66,ANKRD66,Ankrd66,Ankrd66
GRK6,GRK6,Grk6,Grk6
SPTLC1,,Sptlc1,Sptlc1
SIRT1,SIRT1,Sirt1,
TMEM114,TMEM114,Tmem114,Tmem114
OPA1,OPA1,Opa1,Opa1
ARL8A,ARL8A,Arl8a,Arl8a
CLRN2,CLRN2,Clrn2,Clrn2
TRPM1,TRPM1,Trpm1,Trpm1
ERF,ERF,Erf,Erf
TMPRSS7,TMPRSS7,Tmprss7,Tmprss7
HSDL2,HSDL2,Hsdl2,Hsdl2
DMBT1,DMBT1,Dmbt1,Dmbt1
AFF2,AFF2,Aff2,Aff2
KIAA1958,KIAA1958,E130308A19Rik,RGD1310951
COL3A1,COL3A1,Col3a1,Col3a1
GKN1,GKN1,Gkn1,Gkn1
ATF6,ATF6,Atf6,Atf6
KCNJ1,KCNJ1,Kcnj1,Kcnj1
Sep-04,Sep-04,Sep-04,Sep-04
SMIM23,SMIM23,Smim23,Smim23
TMEM30B,TMEM30B,Tmem30b,Tmem30b
AAMDC,AAMDC,Aamdc,Aamdc
SERPINB11,SERPINB11,Serpinb11,Serpinb11
FGF18,FGF18,Fgf18,Fgf18
TCF12,TCF12,Tcf12,Tcf12
FSCN1,FSCN1,Fscn1,Fscn1
NEGR1,NEGR1,Negr1,Negr1
TRDMT1,TRDMT1,Trdmt1,Trdmt1
WDR72,WDR72,Wdr72,Wdr72
YJEFN3,YJEFN3,Yjefn3,Yjefn3
HLX,HLX,Hlx,Hlx
SLC25A31,SLC25A31,Slc25a31,Slc25a31
PPP1R14C,PPP1R14C,Ppp1r14c,Ppp1r14c
ADTRP,ADTRP,Adtrp,Adtrp
DUSP10,DUSP10,Dusp10,Dusp10
B3GAT1,B3GAT1,B3gat1,B3gat1
MAZ,MAZ,Maz,Maz
SFTPC,SFTPC,Sftpc,Sftpc
AIRE,AIRE,Aire,Aire
PANK2,PANK2,Pank2,Pank2
GOSR1,GOSR1,Gosr1,Gosr1
PHF14,PHF14,Phf14,Phf14
IFT57,IFT57,Ift57,Ift57
LRRTM3,LRRTM3,Lrrtm3,Lrrtm3
COL1A1,COL1A1,Col1a1,Col1a1
ZEB1,ZEB1,Zeb1,Zeb1
EFR3A,EFR3A,Efr3a,Efr3a
AKIRIN2,AKIRIN2,Akirin2,Akirin2
SUPT5H,SUPT5H,Supt5,Supt5h
C19orf47,C19orf47,2310022A10Rik,RGD1307554
NFATC3,NFATC3,Nfatc3,Nfatc3
CCBE1,CCBE1,Ccbe1,Ccbe1
SUPT4H1,SUPT4H1,Supt4a,Supt4h1
OS9,OS9,Os9,Os9
LMLN,LMLN,Lmln,Lmln
TPD52L1,TPD52L1,Tpd52l1,Tpd52l1
RNF43,RNF43,Rnf43,Rnf43
FAM155B,FAM155B,Tmem28,Fam155b
DNAJC16,DNAJC16,Dnajc16,Dnajc16
HIPK4,HIPK4,Hipk4,Hipk4
TADA2A,TADA2A,Tada2a,Tada2a
TDRD6,TDRD6,Tdrd6,Tdrd6
ETS2,ETS2,Ets2,Ets2
MCM4,MCM4,Mcm4,Mcm4
PLA2G7,PLA2G7,Pla2g7,Pla2g7
MRPL48,MRPL48,Mrpl48,Mrpl48
ASTE1,ASTE1,Aste1,Aste1
LEF1,LEF1,Lef1,Lef1
TMEM65,TMEM65,Tmem65,Tmem65
LRRC30,LRRC30,Lrrc30,Lrrc30
NR0B1,NR0B1,Nr0b1,Nr0b1
TSPOAP1,TSPOAP1,Tspoap1,Tspoap1
TIMM21,TIMM21,Timm21,Timm21
CXorf21,CXorf21,5430427O19Rik,RGD1565785
GSN,GSN,Gsn,Gsn
NAPA,NAPA,Napa,Napa
SLC25A27,SLC25A27,Slc25a27,Slc25a27
HTRA1,HTRA1,Htra1,Htra1
EGFL7,EGFL7,Egfl7,Egfl7
MFGE8,MFGE8,Mfge8,Mfge8
PSRC1,PSRC1,Psrc1,Psrc1
TIMM13,TIMM13,Timm13,Timm13
MAPRE3,MAPRE3,Mapre3,Mapre3
RPRML,RPRML,Rprml,Rprml
CTHRC1,CTHRC1,Cthrc1,Cthrc1
ADGRA2,ADGRA2,Adgra2,Adgra2
TMPRSS9,TMPRSS9,Tmprss9,Tmprss9
MPPED1,,Mpped1,Mpped1
UGP2,UGP2,Ugp2,Ugp2
TFCP2L1,TFCP2L1,Tfcp2l1,Tfcp2l1
AGMAT,AGMAT,Agmat,Agmat
LMNB2,LMNB2,Lmnb2,Lmnb2
NME6,NME6,Nme6,Nme6
XPA,XPA,Xpa,Xpa
OR6S1,OR6S1,Olfr750,Olr1637
ATOH8,ATOH8,Atoh8,Atoh8
CCDC73,CCDC73,Ccdc73,Ccdc73
SCN1B,SCN1B,Scn1b,Scn1b
GEMIN5,GEMIN5,Gemin5,Gemin5
BRF2,BRF2,Brf2,Brf2
RNASE4,RNASE4,Rnase4,Rnase4
MAL,MAL,Mal,Mal
LPXN,LPXN,Lpxn,Lpxn
CCL22,CCL22,Ccl22,Ccl22
TRIM36,TRIM36,Trim36,Trim36
ADAM8,ADAM8,Adam8,Adam8
EIF3M,EIF3M,Eif3m,Eif3m
EFCAB6,EFCAB6,Efcab6,Efcab6
LDLRAD4,LDLRAD4,Ldlrad4,Ldlrad4
CXCL16,CXCL16,Cxcl16,Cxcl16
IYD,IYD,Iyd,Iyd
GALNTL6,GALNTL6,Galntl6,Galntl6
GPC4,GPC4,Gpc4,Gpc4
MMP7,MMP7,Mmp7,Mmp7
USP47,USP47,Usp47,Usp47
OVCH2,OVCH2,Ovch2,Ovch2
MED11,MED11,Med11,Med11
HDDC2,HDDC2,Hddc2,Hddc2
CX3CL1,,Cx3cl1,Cx3cl1
ACSM4,ACSM4,Acsm4,Acsm4
CCDC136,CCDC136,Ccdc136,Ccdc136
GALNT17,GALNT17,Galnt17,Wbscr17
FMR1NB,FMR1NB,Fmr1nb,LOC103690293
C10orf90,C10orf90,D7Ertd443e,LOC100302465
KCNG3,KCNG3,Kcng3,Kcng3
RCBTB2,RCBTB2,Rcbtb2,Rcbtb2
PLK5,PLK5,Plk5,Plk5
ADAM17,ADAM17,Adam17,Adam17
AGPAT2,AGPAT2,Agpat2,Agpat2
Mar-01,Mar-01,Mar-01,Mar-01
NDUFB9,NDUFB9,Ndufb9,Ndufb9
TACR2,TACR2,Tacr2,Tacr2
SLC25A32,SLC25A32,Slc25a32,Slc25a32
CALML3,CALML3,Calml3,Calml3
MROH1,MROH1,Mroh1,Mroh1
PDCD6IP,PDCD6IP,Pdcd6ip,Pdcd6ip
RNF2,RNF2,Rnf2,Rnf2
RIN2,RIN2,Rin2,Rin2
SPACA1,SPACA1,Spaca1,Spaca1
TSGA10IP,TSGA10IP,Tsga10ip,Tsga10ip
MTSS1,MTSS1,Mtss1,Mtss1
CCL17,CCL17,Ccl17,Ccl17
SP9,SP9,Sp9,Sp9
WASL,WASL,Wasl,Wasl
DPP4,DPP4,Dpp4,Dpp4
FCRLB,FCRLB,Fcrlb,Fcrlb
POLR2F,POLR2F,Polr2f,Polr2f
PDE6B,PDE6B,Pde6b,Pde6b
SSTR1,SSTR1,Sstr1,Sstr1
VANGL1,VANGL1,Vangl1,Vangl1
IAH1,IAH1,Iah1,Iah1
TTLL2,TTLL2,Ttll2,Ttll2
CPXM1,CPXM1,Cpxm1,Cpxm1
TMEM163,TMEM163,Tmem163,Tmem163
FRAT2,FRAT2,Frat2,Frat2
DENND5B,DENND5B,Dennd5b,
AUH,AUH,Auh,Auh
GALNT7,GALNT7,Galnt7,Galnt7
NFKB2,NFKB2,Nfkb2,Nfkb2
HIST1H2BA,HIST1H2BA,Hist1h2ba,Hist1h2ba
PRELID1,PRELID1,Prelid1,Prelid1
HSD17B2,HSD17B2,Hsd17b2,Hsd17b2
CNIH4,CNIH4,Cnih4,Cnih4
RSF1,RSF1,Rsf1,Rsf1
PARP12,PARP12,Parp12,Parp12
SOX10,SOX10,Sox10,Sox10
QDPR,QDPR,Qdpr,Qdpr
MAPK4,MAPK4,Mapk4,Mapk4
FLVCR1,FLVCR1,Flvcr1,Flvcr1
RHBDL3,RHBDL3,Rhbdl3,Rhbdl3
DNAJB5,DNAJB5,Dnajb5,Dnajb5
CDH18,CDH18,Cdh18,Cdh18
HSPA4L,HSPA4L,Hspa4l,Hspa4l
LMF1,LMF1,Lmf1,Lmf1
TFDP2,TFDP2,Tfdp2,Tfdp2
KCNAB2,KCNAB2,Kcnab2,Kcnab2
RAB24,RAB24,Rab24,Rab24
C22orf23,C22orf23,1700088E04Rik,RGD1359634
KNSTRN,KNSTRN,Knstrn,Knstrn
SLC1A2,SLC1A2,Slc1a2,Slc1a2
ESRP2,ESRP2,Esrp2,Esrp2
NFIL3,NFIL3,Nfil3,Nfil3
MRPL22,MRPL22,Mrpl22,Mrpl22
FOXE1,FOXE1,Foxe1,Foxe1
C12orf42,C12orf42,1700113H08Rik,RGD1560034
LSM3,LSM3,Lsm3,Lsm3
TRMO,TRMO,Trmo,Trmo
MRPL28,MRPL28,Mrpl28,Mrpl28
C17orf75,C17orf75,5730455P16Rik,RGD1310429
ABCB10,ABCB10,Abcb10,Abcb10
ACTB,ACTB,Actb,Actb
TCN2,TCN2,Tcn2,Tcn2
CNR1,CNR1,Cnr1,Cnr1
XPC,XPC,Xpc,Xpc
ZFP36L1,ZFP36L1,Zfp36l1,Zfp36l1
TASP1,TASP1,Tasp1,Tasp1
ETS1,ETS1,Ets1,Ets1
L3MBTL2,L3MBTL2,L3mbtl2,L3mbtl2
PLEKHG1,PLEKHG1,Plekhg1,Plekhg1
ARL13A,ARL13A,Arl13a,Arl13a
UPK1B,UPK1B,Upk1b,Upk1b
DUS2,DUS2,Dus2,Dus2
HSF5,HSF5,Hsf5,Hsf5
TMEM35A,TMEM35A,Tmem35a,Tmem35
EDA,EDA,Eda,Eda
FAM69B,FAM69B,Fam69b,Fam69b
PTPRN,PTPRN,Ptprn,Ptprn
ERICH5,ERICH5,Erich5,Erich5
SYNJ2,SYNJ2,Synj2,Synj2
PTBP3,PTBP3,Ptbp3,Ptbp3
ARHGEF7,ARHGEF7,Arhgef7,Arhgef7
MTMR4,MTMR4,Mtmr4,Mtmr4
ROR2,ROR2,Ror2,Ror2
TATDN1,TATDN1,Tatdn1,Tatdn1
PES1,PES1,Pes1,Pes1
PCDH7,PCDH7,Pcdh7,Pcdh7
ZIC4,ZIC4,Zic4,Zic4
SART1,SART1,Sart1,Sart1
TBCEL,,Tbcel,Tbcel
PTPRF,PTPRF,Ptprf,Ptprf
ZNF207,ZNF207,Zfp207,Zfp207
SLC17A4,SLC17A4,Slc17a4,Slc17a4
MGRN1,MGRN1,Mgrn1,Mgrn1
RAB14,RAB14,Rab14,Rab14
CHADL,CHADL,Chadl,Chadl
SERPIND1,SERPIND1,Serpind1,Serpind1
LMAN2,LMAN2,Lman2,Lman2
FNDC11,FNDC11,Fndc11,Fndc11
MAP4K1,,Map4k1,Map4k1
SNAP29,SNAP29,Snap29,Snap29
NDUFS1,NDUFS1,Ndufs1,Ndufs1
PGGT1B,PGGT1B,Pggt1b,Pggt1b
EPG5,EPG5,Epg5,Epg5
DNAJC12,DNAJC12,Dnajc12,Dnajc12
CCK,CCK,Cck,Cck
