Hum	Mouse	Rat	Macaca
TCTE3	Tcte3	Tcte3	TCTE3
LRIG2	Lrig2	Lrig2	LRIG2
MEF2B	Mef2b	Mef2b	MEF2B
ZNF229			ZNF229
SAPCD1	Sapcd1	Sapcd1	SAPCD1
ENTPD6	Entpd6	Entpd6	ENTPD6
VSTM5	Vstm5	Vstm5	VSTM5
ITPRIPL1	Itpripl1	Itpripl1	ITPRIPL1
C1orf185	4930522H14Rik	LOC689589	C1orf185
SIAH3	Siah3	Siah3	SIAH3
HSPB11	Hspb11	Hspb11	HSPB11
ATP1A3	Atp1a3	Atp1a3	ATP1A3
COLEC12	Colec12	Colec12	COLEC12
MFF	Mff	Mff	MFF
MFF	Mff	LOC102556337	MFF
MRPL47	Mrpl47	Mrpl47	MRPL47
CIAPIN1	Ciapin1	Ciapin1	CIAPIN1
BARHL2	Barhl2	Barhl2	BARHL2
S100A14	S100a14		S100A14
LIMS1	Lims1	Lims1	LIMS1
NEPRO	Nepro	Nepro	NEPRO
GJE1	Gje1	Gje1	GJE1
NPTXR	Nptxr	Nptxr	NPTXR
NPTXR	Npcd	Nptxr	NPTXR
APOBEC1	Apobec1	Apobec1	APOBEC1
GCH1	Gch1	Gch1	GCH1
C16orf71	4930451G09Rik	LOC360479	C16orf71
PHPT1	Phpt1	Phpt1	PHPT1
UBE2N		Ube2n	UBE2N
APH1B	Aph1c	LOC108348064	APH1B
APH1B	Aph1b	LOC108348064	APH1B
LCA5	Lca5	Lca5	LCA5
PPP1R36	Ppp1r36	Ppp1r36	PPP1R36
SEMA3C	Sema3c	Sema3c	SEMA3C
HDGFL2	Hdgfl2	Hdgfrp2	HDGFL2
PSD	Psd	Psd	PSD
NSMCE4A	Nsmce4a	Nsmce4a	NSMCE4A
PPP1R3C	Ppp1r3c	Ppp1r3c	PPP1R3C
TSHB	Tshb	Tshb	TSHB
RREB1	Rreb1	Rreb1	RREB1
SAP30L	Sap30l	Sap30l	SAP30L
UBE2A	Ube2a	Ube2a	UBE2A
POP1	Pop1	Pop1	POP1
RABEP2	Rabep2	Rabep2	RABEP2
MAMLD1	Mamld1		MAMLD1
UBXN6	Ubxn6	Ubxn6	UBXN6
FAM69A	Fam69a	Fam69a	FAM69A
ZNF573			ZNF573
FNDC8	Fndc8	Fndc8	FNDC8
PLIN5	Plin5	Plin5	PLIN5
KLHL22	Klhl22	Klhl22	KLHL22
EPB41L5	Epb41l5	Epb41l5	EPB41L5
MYOZ2	Myoz2	Myoz2	MYOZ2
ATF4	Atf4	Atf4	ATF4
CT83			CT83
ZNF684			ZNF684
C1orf105	4930558K02Rik	RGD1309106	C1orf105
CACTIN	Cactin	Cactin	CACTIN
FAM91A1	Fam91a1	Fam91a1	FAM91A1
SCARB1	Scarb1	Scarb1	SCARB1
GRK4	Grk4	Grk4	GRK4
RFX3	Rfx3	Rfx3	RFX3
FAM13B	Fam13b	Fam13b	FAM13B
TMEM70	Tmem70	Tmem70	TMEM70
FNDC4	Fndc4	Fndc4	FNDC4
CLCC1	Clcc1	Clcc1	CLCC1
IARS2	Iars2	Iars2	IARS2
OCIAD2	Ociad2	Ociad2	OCIAD2
AIFM1	Aifm1	Aifm1	AIFM1
ADAMTS4	Adamts4	Adamts4	ADAMTS4
ZSCAN29	Zscan29	Zscan29	ZSCAN29
HS6ST3	Hs6st3		HS6ST3
IL6	Il6	Il6	IL6
TIMM17A	Timm17a	Timm17a	TIMM17A
EMC1	Emc1	Emc1	EMC1
ASPA	Aspa	Aspa	ASPA
TRO	Tro		TRO
PLCG1	Plcg1	Plcg1	PLCG1
IDI2	Gm9745	RGD1564347	IDI2
IDI2	Idi2	RGD1564347	IDI2
IDI2	Gm9745	RGD1564999	IDI2
IDI2	Idi2	RGD1564999	IDI2
PLEK2	Plek2	Plek2	PLEK2
SYCP2	Sycp2	Sycp2	SYCP2
PREX1	Prex1	Prex1	PREX1
PPP1R13B	Ppp1r13b	Ppp1r13b	PPP1R13B
ACOT12	Acot12	Acot12	ACOT12
KHSRP	Khsrp	Khsrp	KHSRP
TRIM23	Trim23	Trim23	TRIM23
TNFAIP3	Tnfaip3	Tnfaip3	TNFAIP3
SLC29A3	Slc29a3	Slc29a3	SLC29A3
ATXN2	Atxn2	Atxn2	ATXN2
ZNF248	Zfp248	Zfp248	ZNF248
GCHFR	Gchfr	Gchfr	GCHFR
EPB41L4A	Epb41l4a	Epb41l4a	EPB41L4A
GTSF1L	Gtsf1l	RGD1563200	GTSF1L
EPHX1	Ephx1	AABR07021930.1	EPHX1
EPHX1	Ephx1	Ephx1	EPHX1
GPIHBP1	Gpihbp1	Gpihbp1	GPIHBP1
FAM227A	Fam227a	Fam227a	FAM227A
CASP5	Casp4	Casp4	CASP5
KCNG2	Kcng2	Kcng2	KCNG2
AMPH	Amph	Amph	AMPH
AMPH	Amph	LOC100910792	AMPH
TPST2	Tpst2	Tpst2	TPST2
NIM1K	Nim1k	Nim1k	NIM1K
MYH6	Myh6	Myh6	MYH6
NBEAL2	Nbeal2	Nbeal2	NBEAL2
CR1L			CR1L
G6PC	G6pc	G6pc	G6PC
MLYCD	Mlycd	Mlycd	MLYCD
KLHDC4	Klhdc4		KLHDC4
TBC1D19	Tbc1d19	Tbc1d19	TBC1D19
ZMYND10	Zmynd10	Zmynd10	ZMYND10
FMN2	Fmn2		FMN2
SLC30A3	Slc30a3	Slc30a3	SLC30A3
FOXA1	Foxa1	Foxa1	FOXA1
ABHD16A	Abhd16a	Abhd16a	ABHD16A
ARHGAP5	Arhgap5	Arhgap5	ARHGAP5
IGSF6	Igsf6	Igsf6	IGSF6
ABRAXAS1	Abraxas1	Fam175a	ABRAXAS1
RBMS1	Rbms1	Rbms1	RBMS1
INAVA	5730559C18Rik	RGD1311892	INAVA
COL15A1	Col15a1	Col15a1	COL15A1
COL15A1	Col15a1	LOC108348074	COL15A1
CRMP1	Crmp1	Crmp1	CRMP1
TRPM4	Trpm4	Trpm4	TRPM4
DOCK11	Dock11	Dock11	DOCK11
CCL21	Ccl21b	Ccl21	CCL21
CCL21	Ccl21c	Ccl21	CCL21
CCL21	Ccl21c	Ccl21	CCL21
CCL21	Ccl21a	Ccl21	CCL21
CCL21	Gm21541	Ccl21	CCL21
CCL21	Gm13304	Ccl21	CCL21
CCL21	Ccl21b	Ccl21	CCL21
CCL21	Gm10591	Ccl21	CCL21
CCL21	Ccl21a	Ccl21	CCL21
ITGB8	Itgb8	Itgb8	ITGB8
JMJD1C	Jmjd1c	Jmjd1c	JMJD1C
CXCR6	Cxcr6	Cxcr6	CXCR6
EIF4EBP1	Eif4ebp1	Eif4ebp1	EIF4EBP1
MAFF	Maff	Maff	MAFF
LRIT1	Lrit1	Lrit1	LRIT1
RADIL	Radil	Radil	RADIL
MRPL50	Mrpl50	Mrpl50	MRPL50
CENPV	Cenpv	Cenpv	CENPV
ABL1	Abl1	Abl1	ABL1
ABL1	Abl1	Abl1	ABL1
SMCO1	Smco1	LOC100911042	SMCO1
SMCO1	Smco1	Smco1	SMCO1
E2F7	E2f7	E2f7	E2F7
CTF1	Ctf1	Ctf1	CTF1
NIPA2	Nipa2	Nipa2	NIPA2
LNX1	Lnx1	Lnx1	LNX1
ARMC2	Armc2	Armc2	ARMC2
MAP7D3	Map7d3	Map7d3	MAP7D3
FANCM	Fancm	Fancm	FANCM
HAAO	Haao	Haao	HAAO
BSND	Bsnd	Bsnd	BSND
NECAP2	Necap2	Necap2	NECAP2
CDS2	Cds2	Cds2	CDS2
FZD8	Fzd8	Fzd8	FZD8
FZD8	Fzd8	LOC100909849	FZD8
NABP2	Nabp2	Nabp2	NABP2
C12orf66	BC048403	RGD1565498	C12orf66
CCDC146	Ccdc146	Ccdc146	CCDC146
GPR142	Gpr142	Gpr142	GPR142
SIGLECL1		Siglecl1	SIGLECL1
ST18	St18	St18	ST18
MAPRE3	Mapre3	Mapre3	MAPRE3
TTLL4	Ttll4	Ttll4	TTLL4
PDLIM3	Pdlim3	Pdlim3	PDLIM3
MMGT1	Mmgt2	Mmgt1	MMGT1
MMGT1	Mmgt1	Mmgt1	MMGT1
CLEC6A	Clec4n	Clec4n	CLEC6A
FMR1	Fmr1	Fmr1	FMR1
KLK13	Klk13	Klk13	KLK13
PEX26	Pex26	Pex26	PEX26
TAC1	Tac1	Tac1	TAC1
UBE2D4			UBE2D4
CCDC177	Ccdc177	Ccdc177	CCDC177
ACP2	Acp2	Acp2	ACP2
SELENOO	Selenoo	Selenoo	SELENOO
PARP6	Parp6	Parp6	PARP6
PLIN4	Plin4	Plin4	PLIN4
TMC8	Tmc8	Tmc8	TMC8
CHRNA4	Chrna4	Chrna4	CHRNA4
RCAN1	Rcan1	Rcan1	RCAN1
TULP2	Tulp2	Tulp2	TULP2
RSBN1	Rsbn1	Rsbn1	RSBN1
MLF2	Mlf2	Mlf2	MLF2
PILRA	Pilrb2	LOC100910669	PILRA
PILRA	Pilrb1	LOC100910669	PILRA
PILRA	Pilra	LOC100910669	PILRA
PILRA	Pilrb2	RGD1561143	PILRA
PILRA	Pilrb1	RGD1561143	PILRA
PILRA	Pilra	RGD1561143	PILRA
PILRA	Pilrb2	RGD1561730	PILRA
PILRA	Pilrb1	RGD1561730	PILRA
PILRA	Pilra	RGD1561730	PILRA
PILRA	Pilrb2	RGD1560281	PILRA
PILRA	Pilrb1	RGD1560281	PILRA
PILRA	Pilra	RGD1560281	PILRA
PILRA	Pilrb2	LOC108348155	PILRA
PILRA	Pilrb1	LOC108348155	PILRA
PILRA	Pilra	LOC108348155	PILRA
PILRA	Pilrb2	RGD1559588	PILRA
PILRA	Pilrb1	RGD1559588	PILRA
PILRA	Pilra	RGD1559588	PILRA
PILRA	Pilrb2	LOC681341	PILRA
PILRA	Pilrb1	LOC681341	PILRA
PILRA	Pilra	LOC681341	PILRA
PILRA	Pilrb2	LOC685048	PILRA
PILRA	Pilrb1	LOC685048	PILRA
PILRA	Pilra	LOC685048	PILRA
PILRA	Pilrb2	LOC100910801	PILRA
PILRA	Pilrb1	LOC100910801	PILRA
PILRA	Pilra	LOC100910801	PILRA
PILRA	Pilrb2	AABR07035776.1	PILRA
PILRA	Pilrb1	AABR07035776.1	PILRA
PILRA	Pilra	AABR07035776.1	PILRA
PILRA	Pilrb2	LOC680910	PILRA
PILRA	Pilrb1	LOC680910	PILRA
PILRA	Pilra	LOC680910	PILRA
PILRA	Pilrb2	RGD1559588	PILRA
PILRA	Pilrb1	RGD1559588	PILRA
PILRA	Pilra	RGD1559588	PILRA
PILRA	Pilrb2	LOC685157	PILRA
PILRA	Pilrb1	LOC685157	PILRA
PILRA	Pilra	LOC685157	PILRA
IGSF9	Igsf9	Igsf9	IGSF9
JPH1	Jph1	Jph1	JPH1
NDE1	Nde1	Nde1	NDE1
LAP3	Lap3	Lap3	LAP3
PTPN23	Ptpn23	Ptpn23	PTPN23
CDH17	Cdh17	Cdh17	CDH17
HPS4	Hps4	Hps4	HPS4
GPATCH2	Gpatch2	Gpatch2	GPATCH2
SH2D3C	Sh2d3c	Sh2d3c	SH2D3C
NUP37	Nup37	Nup37	NUP37
KCTD9	Kctd9	Kctd9	KCTD9
CALB1	Calb1	Calb1	CALB1
BICRA	Bicra	Gltscr1	BICRA
THAP3	Thap3	Thap3	THAP3
TMEM38B	Tmem38b	Tmem38b	TMEM38B
MYL9			MYL9
NUBP1	Nubp1	Nubp1	NUBP1
EIF3D	Eif3d	Eif3d	EIF3D
SMARCD1	Smarcd1	Smarcd1	SMARCD1
STAP1	Stap1	Stap1	STAP1
GNA15	Gna15	Gna15	GNA15
HYAL2	Hyal2	Hyal2	HYAL2
TFRC	Tfrc	Tfrc	TFRC
RAB11A	Rab11a	Rab11a	RAB11A
COL4A4	Col4a4		COL4A4
BRPF3	Brpf3	Brpf3	BRPF3
PPM1F	Ppm1f	Ppm1f	PPM1F
PRR11	Prr11	Prr11	PRR11
UHRF1BP1	Uhrf1bp1	Uhrf1bp1	UHRF1BP1
FKBP4	Fkbp4	Fkbp4	FKBP4
TFE3	Tfe3	Tfe3	TFE3
PUM2	Pum2	Pum2	PUM2
KPNA6	Kpna6	Kpna6	KPNA6
CD99			CD99
MTFMT	Mtfmt	Mtfmt	MTFMT
AGBL5	Agbl5	Agbl5	AGBL5
CDC14A	Cdc14a	Cdc14a	CDC14A
REXO1	Rexo1	Rexo1	REXO1
TMEM98	Tmem98	Tmem98	TMEM98
FGL1	Fgl1	Fgl1	FGL1
SNX10	Snx10	Snx10	SNX10
PSMA7	Psma7	Psma7	PSMA7
ZNF800	Zfp800	Zfp800	ZNF800
MYDGF	Mydgf	Mydgf	MYDGF
TBC1D22B	Tbc1d22b	Tbc1d22b	TBC1D22B
CDK13	Cdk13	Cdk13	CDK13
GCKR	Gckr	Gckr	GCKR
GCAT	Gcat	Gcat	GCAT
ZMYND11	Zmynd11	Zmynd11	ZMYND11
UBE2W	Ube2w	AABR07041109.1	UBE2W
UBE2W	Ube2w	LOC103694506	UBE2W
SLC4A7	Slc4a7	Slc4a7	SLC4A7
GORASP1	Gorasp1	Gorasp1	GORASP1
TFR2	Tfr2	Tfr2	TFR2
MKRN1	Mkrn1	Mkrn1	MKRN1
PPARGC1A	Ppargc1a	Ppargc1a	PPARGC1A
GNL3	Gnl3	Gnl3	GNL3
AURKAIP1	Aurkaip1		AURKAIP1
ATP6V0D1	Atp6v0d1	Atp6v0d1	ATP6V0D1
HAND1	Hand1	Hand1	HAND1
SLC35B3	Slc35b3	Slc35b3	SLC35B3
C12orf57	Grcc10	LOC100911713	C12orf57
C12orf57	Grcc10	Grcc10	C12orf57
EIF2B1	Eif2b1	Eif2b1	EIF2B1
MEIOB	Meiob	Meiob	MEIOB
STC1	Stc1	Stc1	STC1
MITD1	Mitd1	Mitd1	MITD1
PLGRKT	Plgrkt	Plgrkt	PLGRKT
CTSK	Ctsk	Ctsk	CTSK
ESAM	Esam	Esam	ESAM
KRT35	Krt35	Krt35	KRT35
ANO1	Ano1	Ano1	ANO1
C11orf1	1110032A03Rik	RGD1564937	C14H11orf1
CRK	Crk	Crk	CRK
NDUFB10	Ndufb10	Ndufb10	NDUFB10
TREML1	Treml1	Treml1	TREML1
ERP27	Erp27	Erp27	ERP27
COX8C	Cox8c	Cox8c	COX8C
DPP6	Dpp6	Dpp6	DPP6
ATL1	Atl1	Atl1	ATL1
EMC10	Emc10	Emc10	EMC10
GSTCD	Gstcd	Gstcd	GSTCD
ARMC6	Armc6	Armc6	ARMC6
SLX4IP	Slx4ip	Slx4ip	SLX4IP
GLYATL3	Glyatl3	Glyatl3	GLYATL3
SLC25A26	Slc25a26	Slc25a26	SLC25A26
ADAMTS5	Adamts5	Adamts5	ADAMTS5
ZIK1	Zik1	Zik1	ZIK1
ZIK1	Zik1	LOC100911224	ZIK1
ITK	Itk	Itk	ITK
PSMD4	Psmd4	Psmd4	PSMD4
GNL3L	Gnl3l	Gnl3l	GNL3L
BMP15	Bmp15	Bmp15	BMP15
WDR87		AABR07002783.1	WDR87
C1QTNF2	C1qtnf2	C1qtnf2	C1QTNF2
LCTL	Lctl	Lctl	LCTL
RASA3	Rasa3	Rasa3	RASA3
SAP30BP	Sap30bp	Sap30bp	SAP30BP
NR1H2	Nr1h2	Nr1h2	NR1H2
ZBTB21	Zbtb21	Zfp295	ZBTB21
BRAT1	Brat1	Brat1	BRAT1
PKP3	Pkp3	Pkp3	PKP3
ZNF774			ZNF774
ALX3	Alx3	Alx3	ALX3
AIF1L	Aif1l	Aif1l	AIF1L
ABCF3	Abcf3	Abcf3	ABCF3
RNF165	Rnf165	Rnf165	RNF165
CXCR1	Cxcr1	Cxcr1	CXCR1
RBM18	Rbm18	Rbm18	RBM18
ZNF75D			ZNF75D
CNST	Cnst	Cnst	CNST
PUS10	Pus10	Pus10	PUS10
FBXL13	Fbxl13	Fbxl13	FBXL13
GPR156	Gpr156	Gpr156	GPR156
DOCK2	Dock2	Dock2	DOCK2
TERF1	Terf1	Terf1	TERF1
PCNT	Pcnt	Pcnt	PCNT
CCDC154	Ccdc154	Ccdc154	CCDC154
IPO4	Ipo4	Ipo4	IPO4
SLC25A47	Slc25a47	Slc25a47	SLC25A47
MAP3K11	Map3k11	Map3k11	MAP3K11
HSD3B2	Hsd3b3	Hsd3b5	HSD3B2
HSD3B2	Hsd3b2	Hsd3b5	HSD3B2
HSD3B2	Hsd3b4	Hsd3b5	HSD3B2
HSD3B2	Hsd3b1	Hsd3b5	HSD3B2
HSD3B2	Gm4450	Hsd3b5	HSD3B2
HSD3B2	Hsd3b6	Hsd3b5	HSD3B2
HSD3B2	Hsd3b5	Hsd3b5	HSD3B2
HSD3B2	Gm10681	Hsd3b5	HSD3B2
HSD3B2	Hsd3b3	Hsd3b2	HSD3B2
HSD3B2	Hsd3b2	Hsd3b2	HSD3B2
HSD3B2	Hsd3b4	Hsd3b2	HSD3B2
HSD3B2	Hsd3b1	Hsd3b2	HSD3B2
HSD3B2	Gm4450	Hsd3b2	HSD3B2
HSD3B2	Hsd3b6	Hsd3b2	HSD3B2
HSD3B2	Hsd3b5	Hsd3b2	HSD3B2
HSD3B2	Gm10681	Hsd3b2	HSD3B2
HSD3B2	Hsd3b3	LOC108348086	HSD3B2
HSD3B2	Hsd3b2	LOC108348086	HSD3B2
HSD3B2	Hsd3b4	LOC108348086	HSD3B2
